name,count,mean,std,min,25%,50%,75%,max,robustness_bin
alpha_lon_accel_max,0,0,0,0,0,0,0,0,0
alpha_lon_brake_max,0,0,0,0,0,0,0,0,0
alpha_lon_brake_min,0,0,0,0,0,0,0,0,0
response_time,0,0,0,0,0,0,0,0,0
alpha_lon_accel_max,130.0,5.9199359295841205,2.141140744018308,1.6100800096389136,4.227118630030784,5.2571574048678045,7.915489845916577,9.994013282665321,1
alpha_lon_brake_max,130.0,6.35246184375131,0.38589801293701204,6.001353603295589,6.045014167687073,6.1981589459460515,6.534680410537028,7.94110862531833,1
alpha_lon_brake_min,130.0,4.711195234557999,1.173834641191876,2.011468772240878,3.552019325057008,5.0157843066579,5.803885346720785,5.999875581791552,1
response_time,130.0,0.758176472327485,0.6837413224593257,0.05027004837955886,0.13900588296157929,0.6323678667876033,1.3167368813812352,3.1132833230429253,1
alpha_lon_accel_max,2824.0,5.731259767144172,2.553062169726348,4.669099061744273e-05,4.0004133859984625,5.033206659531637,8.22800592503208,9.997905117977519,2
alpha_lon_brake_max,2824.0,6.582999897049318,0.4638962977511358,6.000056760298603,6.213287947487826,6.50902565380618,6.9108099991934875,10.605496868947515,2
alpha_lon_brake_min,2824.0,4.7347666995247355,1.2180869358688233,2.0014545243213675,3.543743120282369,5.321022075028889,5.849909746302484,5.999976076568292,2
response_time,2824.0,0.7618040388960279,0.6286540960021999,0.05004498349505567,0.1772662341110452,0.6170624789727921,1.320256894478175,2.924103328879128,2
alpha_lon_accel_max,974.0,5.732969485825785,2.821014740750829,0.005441979133800136,3.9242724983784396,5.353186948328194,8.45788958980288,9.996761723118047,3
alpha_lon_brake_max,974.0,7.590738469324244,0.8750995643709966,6.029787026815496,6.959887989873467,7.386820292436012,8.10964678794868,11.206852956480308,3
alpha_lon_brake_min,974.0,4.45397513624173,1.2662037865675817,2.0004419053116105,3.412334290174166,4.442903054415183,5.7581398116554,5.999875581791552,3
response_time,974.0,0.8663816329394998,0.6953921247374639,0.050008590205489936,0.20879720985629535,0.7396281678067972,1.4423015238847778,3.2274149306279964,3
alpha_lon_accel_max,325.0,5.496440901378307,3.087508554915202,0.012638276367712977,2.8366792479876484,5.682802048999562,8.354862018850723,9.994013282665321,4
alpha_lon_brake_max,325.0,10.03591315499808,1.5688121011789617,7.229568660793051,8.997169647817671,9.721318749542334,10.624450650127825,14.931680264779999,4
alpha_lon_brake_min,325.0,4.078370601150177,1.2091616153634202,2.003931682296554,3.1090344961072462,4.0027143980238025,5.154768756400774,5.99883738291533,4
response_time,325.0,1.1087262001833744,0.7510231755564359,0.051064839664172634,0.4713654749028951,1.0911901084981876,1.6320370890578986,3.5050646557755045,4
alpha_lon_accel_max,593.0,5.720828469951456,2.740255715477547,0.016100800096389145,3.846932342054012,5.406895202177927,8.207898441943533,9.994666953745662,5
alpha_lon_brake_max,593.0,7.92590166983763,2.674170503013179,6.000381516225112,6.231086951587857,6.655235691736305,7.888250687634393,14.99315315408615,5
alpha_lon_brake_min,593.0,4.411933958527926,1.2453877258239658,2.00696967961321,3.3959796745757016,4.472706155688557,5.6970705154037375,5.999875581791552,5
response_time,593.0,1.0106474729478503,0.7536758639965129,0.050092781438515886,0.2561622195427901,0.9700954637872556,1.5939548575702878,3.0649545831609544,5
alpha_lon_accel_max,668.0,5.79982061466956,3.0244282313615454,0.0021982674114111307,3.529145728349115,6.1111186576457435,8.571670376685578,9.99996761723118,6
alpha_lon_brake_max,668.0,7.977758805479321,1.9455050225114665,6.0,6.662867013104437,7.358468217514487,8.77319024359748,14.970629333055813,6
alpha_lon_brake_min,668.0,4.114110235101841,1.2289805933455251,2.004230420999716,3.150420653178606,3.966135159145831,5.279578868507486,5.999875581791552,6
response_time,668.0,1.7257973468998644,0.940793309040081,0.0500078316507447,1.1006338901919785,1.8596258099538887,2.436351018548325,3.672653664390773,6
alpha_lon_accel_max,214.0,5.351718258747071,3.236255876185164,0.003417412763183636,2.792712900356483,5.728893867917085,8.3359834988664,9.994955742647331,7
alpha_lon_brake_max,214.0,10.020059008107108,2.5282892163289783,6.002259022348902,8.02775799938398,9.418898371734421,12.071884418819716,14.97358142112132,7
alpha_lon_brake_min,214.0,4.070611442903989,1.2578958837686463,2.009566046843536,3.0298809285455057,4.05446153294735,5.2083445557085675,5.984402065331789,7
response_time,214.0,2.9376267426169305,0.7654929288771289,0.11052683679155577,2.565687253621938,3.096579512281939,3.5008255460288056,4.040201658696404,7
alpha_lon_accel_max,67.0,5.513991610167175,2.674782361282092,0.04458397327206043,3.476301849705367,6.024666435964699,7.765750114304409,9.423415993257144,8
alpha_lon_brake_max,67.0,10.892991011703408,2.787320776024439,6.1894171675246445,8.712406791398717,10.425517069814061,13.5780293296351,14.94093042038448,8
alpha_lon_brake_min,67.0,4.2373269527012,1.1358091490399038,2.2431955629825397,3.3034920114926125,4.1612597620470355,5.286380556443081,5.997095642170353,8
response_time,67.0,3.6390737239004363,0.3167264021346485,2.8091979481446985,3.446320958097619,3.677996861925788,3.91283253001705,4.061645840063032,8
alpha_lon_accel_max,10.0,5.2925964022347465,2.4591695244124185,0.09401328266532173,4.5200399279611245,5.586117984661164,7.085365337042948,7.982524619095787,9
alpha_lon_brake_max,10.0,10.935017673320393,2.621588451053295,6.964958898549523,9.050952002142665,11.297798642211994,11.99818990136255,14.833441439075932,9
alpha_lon_brake_min,10.0,4.117836623185029,1.243584497021339,2.5498269773729683,3.019594253995849,4.221622431985517,5.031397084511729,5.8129645935868295,9
