robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,alpha_lat_accel_max,alpha_lat_brake_min,lateral_fluctuation_margin,alpha_lon_brake_min_correct
20.27767569737993,4.1845788892864375,8.221955886065906,2.422038410901844,1.5610209089239455,0.2,0.8,0.0,2.0
20.283385104463804,6.289468365895699,10.406539631762547,4.166574928984488,1.4451163472590547,0.2,0.8,0.0,2.0
20.283519319432227,1.6536568006639618,8.010180708568445,5.452396957139313,3.4409953059160565,0.2,0.8,0.0,2.0
20.287187342875804,1.7159188071980658,14.920560567132187,2.6551139378218207,2.5821087725350593,0.2,0.8,0.0,2.0
20.2983585601051,8.815217571055436,8.316137950588859,5.254734003518811,1.1923236891806088,0.2,0.8,0.0,2.0
20.30434340334781,5.7207885124844156,6.295930206554616,2.71159621116686,1.3977139866929993,0.2,0.8,0.0,2.0
20.307256658279627,4.258157491668408,6.1985817427533565,2.015089421436409,1.3984285530483362,0.2,0.8,0.0,2.0
20.30788699158941,1.4485176440575764,6.668169405192067,2.176229781213756,2.9730636740670566,0.2,0.8,0.0,2.0
20.31457742407144,0.594824105034679,8.99059751078852,5.143343440421129,4.951263231688515,0.2,0.8,0.0,2.0
20.31860440243896,2.727947874446324,11.336218375067544,4.386910223349122,2.688055538688664,0.2,0.8,0.0,2.0
20.320016944249378,1.1686317777261237,9.2512915160429,2.535876641198119,3.4176966985188053,0.2,0.8,0.0,2.0
20.320845638071305,8.006120648337019,10.734496338691363,3.715683355668712,1.097581312731004,0.2,0.8,0.0,2.0
20.333784463616077,0.9889600671279676,9.252420040975712,5.364183027885171,4.498907302545809,0.2,0.8,0.0,2.0
20.335019363280185,3.871287235990708,6.338838531200216,2.193881249353579,1.4905792252292602,0.2,0.8,0.0,2.0
20.336918815306692,0.7214814100226496,9.260449244632383,2.137158454108218,4.501754866593994,0.2,0.8,0.0,2.0
20.339685344462666,6.399253505826242,12.511003255527024,5.468849935025442,1.5114051871671677,0.2,0.8,0.0,2.0
20.348431632152533,2.8831393572586332,6.9678058647108925,2.9204552523950915,2.156263148972009,0.2,0.8,0.0,2.0
20.35301842584269,1.1226547740476192,11.600545936680064,2.557882179445426,3.5136008266425485,0.2,0.8,0.0,2.0
20.35503585244878,3.2996011048955287,10.899023849184879,2.6700517594328588,2.0591111518475222,0.2,0.8,0.0,2.0
20.356856331621092,6.7649026063555215,9.793970772609713,4.461379297942372,1.45159002384157,0.2,0.8,0.0,2.0
20.357569338943485,9.108914905039724,10.967602354405694,3.119268971836753,0.9501705075134972,0.2,0.8,0.0,2.0
20.36918263345619,0.6579579355456511,10.684781671252823,3.630145577468813,4.950553336515151,0.2,0.8,0.0,2.0
20.369187142590373,9.154630847707171,6.539289557775367,3.9414058651383783,1.0662959097916287,0.2,0.8,0.0,2.0
20.369672807765287,1.2904520491848912,7.06037252833763,5.823426247646623,4.547784409847554,0.2,0.8,0.0,2.0
20.370362852158312,1.8427806232219537,6.2439160532226365,4.6176695678709505,3.79080673470692,0.2,0.8,0.0,2.0
20.371447472974644,3.6367633528621637,6.358703228861695,4.6245208421800745,2.224688943249346,0.2,0.8,0.0,2.0
20.375834774569064,3.3501776474915985,12.619416322174242,3.3551573369478094,2.0734598630370047,0.2,0.8,0.0,2.0
20.377868115093673,5.9846291761993085,6.308828236332839,3.1412131244217125,1.4446207997671858,0.2,0.8,0.0,2.0
20.37961585885713,2.779582264696385,13.317881502849884,3.732966611107352,2.4857332276001958,0.2,0.8,0.0,2.0
20.379773201076507,1.7746126623986016,7.296820402160372,5.3798259422717365,3.6577540122328767,0.2,0.8,0.0,2.0
20.38299603609161,3.4499575328838485,7.7051576426507244,2.030097080758892,2.0964556292678567,0.2,0.8,0.0,2.0
20.383457755623763,3.5270643198901657,12.075853907977647,3.89836931341936,2.1773009207849734,0.2,0.8,0.0,2.0
20.38471945307036,5.945859113892213,14.868359493137527,5.119656270643036,1.5495491774087167,0.2,0.8,0.0,2.0
20.38554000105506,1.692546999242429,11.900190615352905,2.0832788644592712,2.3796053116694087,0.2,0.8,0.0,2.0
