name,count,mean,std,min,25%,50%,75%,max,robustness_bin
alpha_lon_accel_max,458.0,2.5609636379088028,1.5794087416074571,0.0009611556285356489,1.249499483668475,2.995746998051398,3.5782534468337666,6.560213762605312,0
alpha_lon_brake_max,458.0,6.394324120674871,0.49101680850744805,6.000007348404026,6.030453853289317,6.162353582136022,6.705131895656631,8.016054943755321,0
alpha_lon_brake_min,458.0,5.668441626986619,0.25780407843830594,4.957492369494197,5.467359806253909,5.7136461968435714,5.9022056548230974,5.99966281582271,0
response_time,458.0,0.07755195910770715,0.03076955219204473,0.05000805451715373,0.05518388588598971,0.06630518983927072,0.08902997389261744,0.20106189981549616,0
alpha_lon_accel_max,612.0,2.870287075349561,1.6961362645421274,0.00017689603547392174,1.5315552109297617,3.1819745492921423,3.9552334562397005,9.15979846582337,1
alpha_lon_brake_max,612.0,6.607399202057285,0.636543307433727,6.000120952025423,6.07842423918777,6.333393803689888,7.064941365088146,9.84017355646469,1
alpha_lon_brake_min,612.0,5.652308515430416,0.29081324296462263,4.596698912992918,5.4348441908273095,5.726401987592997,5.906819793663483,5.999940498150486,1
response_time,612.0,0.11173707987880249,0.05401372749487348,0.050003709579791326,0.06843564721600232,0.09915751982079112,0.13905852742506386,0.3080202458492102,1
alpha_lon_accel_max,519.0,2.7263065491004537,1.7679857619679626,0.00011169727981794096,0.9437723337273867,3.0515246205476783,3.9498866943815214,9.73866223486622,2
alpha_lon_brake_max,519.0,7.046306045943993,1.325994601417797,6.000022622550991,6.121014768710397,6.6461450384515235,7.350593005372129,12.979470184850841,2
alpha_lon_brake_min,519.0,5.591613724055508,0.32974069556921404,4.170818303515788,5.357809674387591,5.647653900406778,5.870198139601905,5.9999253713399945,2
response_time,519.0,0.1551942661387564,0.08218190506001322,0.050021819344153264,0.08843583499919029,0.1429779870580114,0.20476375080051,0.4770688088954341,2
alpha_lon_accel_max,590.0,2.5919526071268635,1.780016149737637,0.0009288688274085992,0.8386960761950988,2.8398717553536637,3.8763269252107166,9.960198574115289,3
alpha_lon_brake_max,590.0,7.893675614731454,2.175772884714187,6.000201027785192,6.20634506073769,7.081523460266547,8.391041647723064,14.37938417358882,3
alpha_lon_brake_min,590.0,5.550383561892866,0.398497734059483,3.2157578086456624,5.2890757293335895,5.632997069607931,5.888474780809612,5.999857342731381,3
response_time,590.0,0.19539667495762475,0.13329510680668422,0.0502468740584448,0.09137045732485213,0.16224961726985945,0.2605725329859627,0.8971395804937092,3
alpha_lon_accel_max,755.0,2.744166725732186,1.9285052756532592,0.0013087977263055715,0.9534926325793551,2.893920037829316,3.9041777678712686,9.940052524133748,4
