robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,alpha_lat_accel_max,alpha_lat_brake_min,lateral_fluctuation_margin
0.0,2.135851975977304,6.194871410075272,4.577501097078296,0.12231105086513028,,,
0.0,0.8854422140838643,6.349419200641012,4.979283998139518,0.1323928106170767,,,
0.0,0.2924124009831222,7.534955128663684,5.880805767521258,0.0923275831692871,,,
0.0,0.7895270224912171,6.331205851571436,4.985686158047893,0.13427942608445556,,,
0.0,0.3062608080660668,7.555462454861537,5.972243978261379,0.06160456441711928,,,
0.0,0.8694634267067329,6.224524064523416,4.9726813707268285,0.1931430942999008,,,
0.0,0.3083377885329008,7.554972392587406,5.9814304971764205,0.0663706347148656,,,
0.0,0.2440859138370015,7.698619905277367,5.9551623666456175,0.0616597591556003,,,
0.0,2.8668124614697272,6.120267129026878,5.372785918091138,0.1065636197545426,,,
0.0,1.1019181847881163,6.053662160205884,5.018053939507094,0.129345019103851,,,
0.0,1.4451326839869845,6.218372579794197,4.542043484937625,0.05079345019103852,,,
0.0,0.24019098202567865,7.701543316203343,5.950439215922628,0.05614794788384808,,,
0.0,0.21814254288239185,7.685588948198927,5.927916945445876,0.09082775545833456,,,
0.0,0.4465793089698375,7.477095787758722,5.902993744731474,0.05040827755458335,,,
0.0,0.4023322732266537,7.454280514038074,5.895447948185209,0.05087334372665397,,,
0.0,2.0001013447984604,6.112508011349345,4.668325384236846,0.17597048844144064,,,
0.0,2.043441840375693,6.026372588158282,5.098110069791137,0.09153079231397117,,,
0.0,0.7573488473014628,6.9722032755591465,5.815927602378181,0.05610896816859017,,,
0.0,1.1966111152469736,6.8407933400649945,5.958586645097983,0.2078817070810826,,,
0.0,1.3200828084682592,6.537156922168993,5.923595087791172,0.0997272276633656,,,
0.0,2.8161306777311848,6.234968374752886,5.433547440419363,0.07339081840881556,,,
0.0,1.2726831412254982,6.5188036142812384,5.943994385844668,0.1130589567080195,,,
0.0,3.4223612669948644,8.076438971650324,5.196808923590114,0.06255035830985843,,,
0.0,1.9917459159877868,6.156470026679182,4.694229492975309,0.15748071958328813,,,
0.0,1.847486888663044,6.3104647834427245,4.6858655165267775,0.08893429930227892,,,
0.0,1.3318339685602434,6.5005382714937125,5.923024919581407,0.10609491939123576,,,
0.0,0.2483047239630985,6.4335686746233645,4.997252242191523,0.20559865042514106,,,
0.0,1.3662764146547546,6.33762076019449,5.737033046673,0.2890168685773289,,,
0.0,2.8702950240670786,6.110803124075103,5.376948857555699,0.112296138054827,,,
0.0,0.785985130261262,8.071174777558076,5.972856702190351,0.059917446318041065,,,
0.0,0.8771588516882396,7.1646396514512,5.019228766488976,0.09812201841563507,,,
0.0,0.9138692701646464,7.106712816981497,4.9479484567258085,0.08189871865167088,,,
0.0,0.13327562358215098,7.143539337663213,4.357084467606739,0.1829279945433242,,,
0.0,2.3788752070342896,6.5372631960989285,5.4009360614392685,0.18074422848552213,,,
0.0,0.4365201444110661,6.046401815764039,4.240366867300093,0.10152338908513016,,,
